Ticker,Tipo,Segmento,Preço,DY (%),P/VP,Liquidez Diária (R$),Vacância (%),Score,Estratégias,Número Mágico,Custo Mágico (R$),Seção Bola de Neve
BODB11,INFRA,Infraestrutura,8.02,12.88,0.93,1.00M,0.00,8,DIVIDEND,94,753.88,Destaques (Fiagro & Infra)
RURA11,AGRO,T�tulos e Val. Mob.,9.03,4.74,0.88,2.64M,0.00,7,,254,2293.62,Destaques (Fiagro & Infra)
FGAA11,AGRO,Outros,9.13,13.79,0.97,1.13M,0.00,10,SAFE_INCOME,88,803.44,Destaques (Fiagro & Infra)
RZAG11,AGRO,T�tulos e Val. Mob.,9.14,6.01,0.95,2.87M,0.00,7,,200,1828.00,Destaques (Fiagro & Infra)
OIAG11,AGRO,Outros,9.25,8.50,0.94,200.07K,0.00,6,,142,1313.50,Destaques (Fiagro & Infra)
VGIA11,AGRO,Outros,10.11,8.83,1.05,2.06M,0.00,9,,136,1374.96,Destaques (Fiagro & Infra)
SNID11,INFRA,Infraestrutura,11.24,12.89,1.08,1.00M,0.00,5,DIVIDEND,94,1056.56,Destaques (Fiagro & Infra)
XPID11,INFRA,Infraestrutura,52.96,13.20,0.56,1.00M,0.00,8,DIVIDEND,91,4819.36,Destaques (Fiagro & Infra)
BDIF11,INFRA,Infraestrutura,76.45,13.27,0.92,1.00M,0.00,8,DIVIDEND,91,6956.95,Destaques (Fiagro & Infra)
RBIF11,INFRA,Infraestrutura,79.83,14.20,0.89,1.00M,0.00,8,DIVIDEND,85,6785.55,Destaques (Fiagro & Infra)
BIDB11,INFRA,Infraestrutura,79.91,16.21,0.97,1.00M,0.00,10,INFRA_INCOME; DIVIDEND,75,5993.25,Destaques (Fiagro & Infra)
CPTI11,INFRA,Infraestrutura,89.91,13.50,0.95,1.00M,0.00,7,DIVIDEND,89,8001.99,Destaques (Fiagro & Infra)
JMBI11,INFRA,Infraestrutura,92.67,15.24,0.91,1.00M,0.00,10,INFRA_INCOME; DIVIDEND,79,7320.93,Destaques (Fiagro & Infra)
NUIF11,INFRA,Infraestrutura,94.50,14.87,0.94,1.00M,0.00,8,DIVIDEND,81,7654.50,Destaques (Fiagro & Infra)
KNCA11,AGRO,T�tulos e Val. Mob.,96.10,5.37,0.94,3.29M,0.00,7,,224,21526.40,Destaques (Fiagro & Infra)
VANG11,INFRA,Infraestrutura,100.57,11.93,1.00,1.00M,0.00,5,,101,10157.57,Destaques (Fiagro & Infra)
IFRA11,INFRA,Infraestrutura,101.50,11.57,1.01,1.00M,0.00,5,,104,10556.00,Destaques (Fiagro & Infra)
BINC11,INFRA,Infraestrutura,102.50,15.07,0.98,1.00M,0.00,10,INFRA_INCOME; DIVIDEND,80,8200.00,Destaques (Fiagro & Infra)
JURO11,INFRA,Infraestrutura,103.04,11.64,1.02,1.00M,0.00,5,,104,10716.16,Destaques (Fiagro & Infra)
IFRI11,INFRA,Infraestrutura,103.75,13.99,0.99,1.00M,0.00,7,DIVIDEND,86,8922.50,Destaques (Fiagro & Infra)
DIVS11,INFRA,Infraestrutura,104.06,12.68,1.04,1.00M,0.00,5,DIVIDEND,95,9885.70,Destaques (Fiagro & Infra)
CDII11,INFRA,Infraestrutura,106.64,16.29,1.03,1.00M,0.00,8,DIVIDEND,74,7891.36,Destaques (Fiagro & Infra)
KDIF11,INFRA,Infraestrutura,127.29,12.18,1.01,1.00M,0.00,5,DIVIDEND,99,12601.71,Destaques (Fiagro & Infra)
VINO11,MULTI,Multicategoria,5.53,11.26,0.56,1.02M,10.25,6,,107,591.71,Base R$ 10 (Acessíveis)
VIUR11,OUTROS,Outros,5.84,16.23,0.72,592.34K,3.14,7,HIGH_VOLATILITY,74,432.16,Base R$ 10 (Acessíveis)
ARRI11,MULTI,Multicategoria,6.65,16.02,0.80,272.60K,0.00,6,MULTI_DISCOUNT; HIGH_VOLATILITY,75,498.75,Base R$ 10 (Acessíveis)
XPSF11,OUTROS,Outros,6.81,11.19,0.83,1.62M,0.00,7,SAFE_INCOME,108,735.48,Base R$ 10 (Acessíveis)
HFOF11,MULTI,Multicategoria,6.84,9.79,0.86,2.28M,0.00,8,SAFE_INCOME,123,841.32,Base R$ 10 (Acessíveis)
KISU11,OUTROS,Outros,7.01,11.95,0.83,667.26K,0.00,6,,101,708.01,Base R$ 10 (Acessíveis)
VGHF11,OUTROS,Outros,7.20,13.72,0.83,3.02M,0.00,8,SAFE_INCOME,88,633.60,Base R$ 10 (Acessíveis)
VRTM11,MULTI,Multicategoria,7.30,14.59,0.78,379.18K,0.00,6,MULTI_DISCOUNT,83,605.90,Base R$ 10 (Acessíveis)
BBIG11,TIJOLO,Shoppings,7.39,13.01,0.76,1.20M,2.50,9,TIJOLO_VALUE; HIGH_VOLATILITY,93,687.27,Base R$ 10 (Acessíveis)
AZPL11,OUTROS,Log�stica,7.71,12.50,0.90,891.21K,0.00,8,SAFE_INCOME,96,740.16,Base R$ 10 (Acessíveis)
CPTS11,OUTROS,Outros,8.00,12.88,0.87,7.78M,0.00,9,SAFE_INCOME,94,752.00,Base R$ 10 (Acessíveis)
JSAF11,MULTI,Multicategoria,8.03,12.81,0.87,2.06M,0.00,9,MULTI_DISCOUNT; SAFE_INCOME,94,754.82,Base R$ 10 (Acessíveis)
ALZC11,OUTROS,Outros,8.09,15.20,0.86,426.39K,0.00,9,,79,639.11,Base R$ 10 (Acessíveis)
PORD11,MULTI,Multicategoria,8.12,13.97,0.85,795.66K,0.00,9,MULTI_DISCOUNT; SAFE_INCOME,86,698.32,Base R$ 10 (Acessíveis)
VGRI11,OUTROS,Outros,8.20,17.63,0.98,730.71K,0.00,9,SAFE_INCOME; HIGH_VOLATILITY,69,565.80,Base R$ 10 (Acessíveis)
AJFI11,TIJOLO,Shoppings,8.25,8.08,0.74,331.42K,3.30,7,TIJOLO_VALUE,149,1229.25,Base R$ 10 (Acessíveis)
PMIS11,OUTROS,Outros,8.27,13.58,0.88,246.19K,0.00,8,,89,736.03,Base R$ 10 (Acessíveis)
AAZQ11,OUTROS,Outros,8.35,7.85,0.97,679.23K,0.00,6,,153,1277.55,Base R$ 10 (Acessíveis)
CPTR11,OUTROS,Outros,8.40,8.55,0.85,335.52K,0.00,6,,141,1184.40,Base R$ 10 (Acessíveis)
JSCR11,MULTI,Multicategoria,8.47,13.30,0.90,398.63K,0.00,7,MULTI_DISCOUNT,91,770.77,Base R$ 10 (Acessíveis)
HREC11,MULTI,Multicategoria,8.50,11.93,0.96,208.73K,0.00,7,,101,858.50,Base R$ 10 (Acessíveis)
GARE11,MULTI,Multicategoria,8.57,11.51,0.92,13.59M,0.00,9,SAFE_INCOME,105,899.85,Base R$ 10 (Acessíveis)
SNEL11,OUTROS,Outros,8.58,13.98,1.04,3.13M,0.00,10,SAFE_INCOME,86,737.88,Base R$ 10 (Acessíveis)
XPCA11,MULTI,Multicategoria,8.59,8.03,0.89,963.25K,0.00,7,,150,1288.50,Base R$ 10 (Acessíveis)
RBRX11,MULTI,Multicategoria,8.64,12.08,0.87,4.91M,0.00,9,SAFE_INCOME,100,864.00,Base R$ 10 (Acessíveis)
SPXS11,MULTI,Multicategoria,8.80,13.71,0.93,669.70K,0.00,9,MULTI_DISCOUNT,88,774.40,Base R$ 10 (Acessíveis)
KCRE11,MULTI,Multicategoria,8.82,13.22,0.93,549.03K,0.00,8,MULTI_DISCOUNT,91,802.62,Base R$ 10 (Acessíveis)
IAAG11,OUTROS,Outros,8.83,13.41,0.90,215.16K,0.00,7,,90,794.70,Base R$ 10 (Acessíveis)
LIFE11,TIJOLO,Residencial,8.93,15.88,0.90,966.08K,0.00,8,TIJOLO_VALUE; SAFE_INCOME,76,678.68,Base R$ 10 (Acessíveis)
GRUL11,OUTROS,Log�stica,8.98,12.54,0.94,310.53K,0.00,7,,96,862.08,Base R$ 10 (Acessíveis)
KNSC11,MULTI,Multicategoria,9.00,12.52,1.02,6.14M,0.00,9,SAFE_INCOME,96,864.00,Base R$ 10 (Acessíveis)
GAME11,OUTROS,Outros,9.09,12.45,0.94,1.67M,0.00,9,SAFE_INCOME,97,881.73,Base R$ 10 (Acessíveis)
TEPP11,OUTROS,Outros,9.13,11.13,0.96,3.17M,1.69,9,SAFE_INCOME,108,986.04,Base R$ 10 (Acessíveis)
SAPI11,MULTI,Multicategoria,9.20,15.34,0.92,281.01K,0.00,8,MULTI_DISCOUNT,79,726.80,Base R$ 10 (Acessíveis)
WHGR11,MULTI,Multicategoria,9.22,12.17,0.93,356.46K,0.00,7,,99,912.78,Base R$ 10 (Acessíveis)
BTCI11,OUTROS,Outros,9.29,12.37,0.92,2.42M,0.00,9,SAFE_INCOME,98,910.42,Base R$ 10 (Acessíveis)
MANA11,MULTI,Multicategoria,9.30,27.42,0.09,1.15M,0.00,8,MULTI_DISCOUNT; HIGH_VOLATILITY,44,409.20,Base R$ 10 (Acessíveis)
HGBL11,OUTROS,Log�stica,9.36,9.40,1.00,304.38K,0.00,6,,128,1198.08,Base R$ 10 (Acessíveis)
BTHF11,OUTROS,Outros,9.40,11.85,0.92,4.91M,0.00,9,SAFE_INCOME,102,958.80,Base R$ 10 (Acessíveis)
SNME11,MULTI,Multicategoria,9.48,15.45,0.99,395.58K,0.00,8,,78,739.44,Base R$ 10 (Acessíveis)
EXES11,MULTI,Multicategoria,9.49,16.20,0.96,222.05K,0.00,8,HIGH_VOLATILITY,75,711.75,Base R$ 10 (Acessíveis)
MXRF11,OUTROS,Log�stica,9.74,13.08,1.04,18.24M,0.00,9,SAFE_INCOME,92,896.08,Base R$ 10 (Acessíveis)
VGIR11,MULTI,Multicategoria,9.75,15.27,0.99,5.45M,0.00,10,SAFE_INCOME,79,770.25,Base R$ 10 (Acessíveis)
RBVA11,TIJOLO,Varejo,9.92,10.77,0.92,2.33M,5.35,8,TIJOLO_VALUE; SAFE_INCOME,112,1111.04,Base R$ 10 (Acessíveis)
